Store,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Weekly_Sales
1,0,42.31,2.572,211.0963582,8.106,1643690.9
1,1,38.51,2.548,211.2421698,8.106,1641957.44
1,0,39.93,2.514,211.2891429,8.106,1611968.17
1,0,46.63,2.561,211.3196429,8.106,1409727.59
1,0,46.5,2.625,211.3501429,8.106,1554806.68
1,0,57.79,2.667,211.3806429,8.106,1439541.59
1,0,54.58,2.72,211.215635,8.106,1472515.79
1,0,51.45,2.732,211.0180424,8.106,1404429.92
1,0,62.27,2.719,210.8204499,7.808,1594968.28
1,0,65.86,2.77,210.6228574,7.808,1545418.53
1,0,66.32,2.808,210.4887,7.808,1466058.28
1,0,64.84,2.795,210.4391228,7.808,1391256.12
1,0,67.41,2.78,210.3895456,7.808,1425100.71
1,0,72.55,2.835,210.3399684,7.808,1603955.12
1,0,74.78,2.854,210.3374261,7.808,1494251.5
1,0,76.44,2.826,210.6170934,7.808,1399662.07
1,0,80.44,2.759,210.8967606,7.808,1432069.95
1,0,80.69,2.705,211.1764278,7.808,1615524.71
1,0,80.43,2.668,211.4560951,7.808,1542561.09
1,0,84.11,2.637,211.4537719,7.808,1503284.06
1,0,84.34,2.653,211.3386526,7.808,1422711.6
1,0,80.91,2.669,211.2235333,7.787,1492418.14
1,0,80.48,2.642,211.108414,7.787,1546074.18
1,0,83.15,2.623,211.1003854,7.787,1448938.92
1,0,83.36,2.608,211.2351443,7.787,1385065.2
1,0,81.84,2.64,211.3699032,7.787,1371986.6
1,0,87.16,2.627,211.5046621,7.787,1605491.78
1,0,87.0,2.692,211.6394211,7.787,1508237.76
1,0,86.65,2.664,211.6033633,7.787,1513080.49
1,0,85.22,2.619,211.5673056,7.787,1449142.92
1,0,81.21,2.577,211.5312479,7.787,1540163.53
1,1,78.69,2.565,211.4951902,7.787,1507460.69
1,0,82.11,2.582,211.5224596,7.787,1430378.67
1,0,80.94,2.624,211.5972246,7.787,1351791.03
1,0,71.89,2.603,211.6719895,7.838,1453329.5
1,0,63.93,2.633,211.7467544,7.838,1508239.93
1,0,67.18,2.72,211.8137436,7.838,1459409.1
1,0,69.86,2.725,211.8612937,7.838,1345454.0
1,0,69.64,2.716,211.9088438,7.838,1384209.22
1,0,58.74,2.689,211.9563939,7.838,1551659.28
1,0,59.61,2.728,212.003944,7.838,1494479.49
1,0,51.41,2.771,211.8896737,7.838,1483784.18
1,1,64.52,2.735,211.7484333,7.838,1955624.11
1,0,49.27,2.708,211.607193,7.838,1548033.78
1,0,46.33,2.843,211.4659526,7.838,1682614.26
1,0,49.84,2.869,211.4053124,7.838,1891034.93
1,0,52.33,2.886,211.4051222,7.838,2387950.2
1,1,48.43,2.943,211.4049321,7.838,1367320.01
1,0,48.27,2.976,211.4047419,7.742,1444732.28
1,0,35.4,2.983,211.4574109,7.742,1391013.96
1,0,44.04,3.016,211.8272343,7.742,1327405.42
1,0,43.83,3.01,212.1970577,7.742,1316899.31
1,0,42.27,2.989,212.5668812,7.742,1606629.58
1,1,36.39,3.022,212.9367046,7.742,1649614.93
1,0,57.36,3.045,213.2478853,7.742,1686842.78
1,0,62.9,3.065,213.535609,7.742,1456800.28
1,0,59.58,3.288,213.8233327,7.742,1636263.41
1,0,53.56,3.459,214.1110564,7.742,1553191.63
1,0,62.76,3.488,214.3627114,7.742,1576818.06
1,0,69.97,3.473,214.5999389,7.742,1541102.38
1,0,59.17,3.524,214.8371664,7.682,1495064.75
1,0,67.84,3.622,215.0743939,7.682,1614259.35
1,0,71.27,3.743,215.2918561,7.682,1559889.0
1,0,72.99,3.807,215.4599053,7.682,1564819.81
1,0,72.03,3.81,215.6279544,7.682,1455090.69
1,0,64.61,3.906,215.7960035,7.682,1629391.28
1,0,75.64,3.899,215.9640526,7.682,1604775.58
1,0,67.63,3.907,215.7339202,7.682,1428218.27
1,0,77.72,3.786,215.5037878,7.682,1466046.67
1,0,83.0,3.699,215.2736553,7.682,1635078.41
1,0,83.13,3.648,215.0435229,7.682,1588948.32
1,0,86.41,3.637,214.9980596,7.682,1532114.86
1,0,83.58,3.594,215.0910982,7.682,1438830.15
1,0,85.55,3.524,215.1841368,7.962,1488538.09
1,0,85.83,3.48,215.2771754,7.962,1534849.64
1,0,88.54,3.575,215.3611087,7.962,1455119.97
1,0,85.77,3.651,215.4222784,7.962,1396926.82
